MATH,23a,Linear Algebra and Real Analysis I,
GOV,10,Foundations of Political Theory,
VIROLOGY,200,Introduction to Virology,
MUSIC,194r,Special Topics,
ENG-SCI,274,Quantum Technology I,
SOCIOL,255,Social Stratification: Seminar,
AFRAMER,20,Introduction to African Languages and Cultures,
PSY,1900,Introduction to Statistics for the Behavioral Sciences,
FRSEMR,21o,The Neurophysiology of Visual Perception,
ARABIC,133,Upper-Level Spoken Modern Standard Arabic,
APPHY,225,Introduction to Soft Matter,
SOCIOL,206,The Sociology of Development: Seminar,
PSY,2190,Topics in Language Acquisition,
E-PSCI,161,Planetary Physics and Global Tectonics,
GREEK,H,Introductory Greek Prose Composition,
SOC-STD,98fu,"Practicing Democracy: Leadership, Community, Power",
PSY,15,Social Psychology,
MCB,131,Computational Neuroscience,
PHIL,158,"Self, Body, and Other: Proseminar",
HAA,175k,"American and European Art, 1945-1975",
HISTSCI,212,"The Sciences of Life, Medicine and the Body in Medieval and Renaissance Europe",
ISLAMCIV,145,Introduction to Islamic Philosophy and Theology,
HISTSCI,153,History of Dietetics,
VES,270,Proseminar in Film and Visual Studies: History,
ECON,2070,Normative Economics,
STAT,115,Introduction to Computational Biology and Bioinformatics,
OEB,54,Biology of the Fungi,
MCB,225,Interesting Questions in Physical Biology,
E-PSCI,255r,Topics in Tropical Dynamics,
PHYSCI,2,"Mechanics, Elasticity, Fluids, and Diffusion",
CELLBIO,226,"Concepts in Development, Self-Renewal, and Repair",
APPHY,299r,Special Topics in Applied Physics,
VES,41a,Introduction to Still Photography: Studio Course,
PSY,975,Contemporary Issues in Psychology: Intensive Cross-level Analyses for Social and Cognitive Neuroscience,
PERSIAN,A,Elementary Persian,
MUSIC,Bhf,Exercises in Tonal Writing and Analysis,
HLTHPOL,2000,Core Course in Health Policy,
HIST-LIT,97,Tutorial - Sophomore Year,
PHIL,98hf,Tutorial - Junior Year,
SLAVIC,B,Intermediate Russian,
E-PSCI,210,Introduction to Isotope and Trace Element Geochemistry,
ENG-SCI,209,Nonlinear Control Systems,
ANTHRO,2000,Osteoarchaeology Lab,
ANTHRO,1640,Language and Culture,
HIST,2906,International History: Seminar,
PHYSICS,285a,Modern Atomic and Optical Physics I,
ITAL,141,"Renaissance Epic: War, Identity, Desire",
ENG-SCI,128,Computational Solid and Structural Mechanics,
VES,107,Studies of the Built North American Environment since 1580,
JAPAN,130a,Intermediate Japanese II,
MATH,55a,Honors Abstract Algebra,
ECON,2810a,Labor Market Analysis,
CHNSE,Ba,Elementary Modern Chinese,
COMPSCI,50,Introduction to Computer Science I,
CHEM,17,Principles of Organic Chemistry,
CHEM,30,Organic Chemistry,
APMTH,21a,Mathematical Methods in the Sciences,
STAT,110,Introduction to Probability,
PHYSICS,253a,Quantum Field Theory I,
MCB,186,Circadian Biology: From Cellular Oscillators to Sleep Regulation,
SOCIOL,296a,Proseminar on Inequality & Social Policy I,
SOCIOL,209,Qualitative Social Analysis: Seminar,
PHYSICS,232,Advanced Classical Electromagnetism,
ASTRON,2,Celestial Navigation,
MUSIC,201a,Current Methods in Historical Musicology,
FRSEMR,33x,Complexity in Works of Art: Ulysses and Hamlet,
FRSEMR,37z,Socrates and His Critics,
KORHIST,253r,Modern Korean History: Proseminar,
MUSIC,160r,Composition: Proseminar,
BIOSTAT,244,Analysis of Failure Time Data,
HAA,275w,The Thing,
PHIL,155,Carnap and Quine,
GENETIC,228,Genetics in Medicine - From Bench to Bedside,
PHYSICS,284,Strongly Correlated Systems in Atomic and Condensed Matter Physics,
FRSEMR,31n,Beauty and Christianity,
GERMAN,288,German Novels Since Reunification: Seminar,
ENGLISH,282,American Poetry and Literary History: Graduate Seminar,
ECON,2328,The Emergence of Modern Economic Growth: A Comparative and Historical Analysis,
ENGLISH,294z,On Beauty: Graduate Seminar,
HISTSCI,162,Science in the Enlightenment,
NEUROBIO,98r,Laboratory Research,
APMTH,115,Mathematical Modeling,
RELIGION,98a,Tutorial - Junior Year,
PHYSICS,143a,Quantum Mechanics I,
MATH,1b,"Calculus, Series, and Differential Equations",
HIST-LIT,98r,Tutorial - Junior Year,
SLAVIC,Dr,Supervised Readings in Intermediate/Advanced Polish,
PHYSICS,247r,Laboratory Course in Contemporary Physics,
GERMAN,Dab,"Intermediate German (Intensive): Speaking, Listening Comprehension, Reading, and Writing",
PSY,992,Senior Tutorial: Honors Thesis (Mind/Brain/Behavior),
YIDDISH,A,Elementary Yiddish,
HIST-LIT,99,Tutorial - Senior Year,
MODGRK,A,Elementary Modern Greek,
VES,50,Introduction to Nonfiction Filmmaking,
COMPSCI,222,Algorithms at the Ends of the Wire,
PHIL,122,British Empiricism,
PHYSICS,262,Statistical Physics,
AM-CIV,200,Major Works in the History of American Civilization,
ECON,2140,Econometric Methods,
PSY,18,Abnormal Psychology,
PHYSICS,95,Topics in Current Research,
PHYSICS,251a,Advanced Quantum Mechanics I,
MATH,25a,Honors Linear Algebra and Real Analysis I,
ENG-SCI,202,Estimation and Control of Dynamic Systems,
ECON,975,Tutorial - Theory Review,
ECON,2110,Introductory Probability and Statistics for Economists,
ECON,2530a,International Trade,
CHNSE,Bx,Elementary Chinese for Advanced Beginners,
LATIN,Bam,Latin Prose Selections (Late Antique and Medieval),
ANTHRO,98xa,Junior Tutorial in Archaeology,
SPANSH,Ax,Reading Spanish,
SLAVIC,113,Advanced Russian: Readings in Russian Literature I,
FRSEMR,21s,Germs,
VIETNAM,Ba,Elementary Vietnamese,
GOV,1100,Political Economy of Development,
GERMAN,65,Wirtschaftsdeutsch,
MATH,121,Linear Algebra and Applications,
GOV,2105,Comparative Politics: Field Seminar,
ECON,1640,Industrial Organization: Theory and Applications,
JAPNHIST,115,Religion and Society in Edo and Meiji Japan,
SOCIOL,203a,Advanced Quantitative Research Methods,
ECON,2723,Asset Pricing I,
FRENCH,70b,Introduction to French Literature II. 19th and 20th Centuries: Moving and Shaking,
ANTHRO,1010,The Fundamentals of Archaeological Methods & Reasoning,
GERMAN,62,Advanced Conversation and Composition - Berlin Stories,
FRSEMR,25w,"Responsibility, the Brain, and Behavior",
ANTHRO,1850,Ethnography as Practice and Genre,
FRSEMR,25k,You Are What You Eat,
FOLKMYTH,114,Embodied Expression/Expressive Body: Dance in Cultural Context,
CLASARCH,100,Greek Antiquity,
ESPP,78,Environmental Politics,
FRSEMR,22z,Quantitative Methods in Public Policy Decisions,
SOCIOL,243,Economic Sociology,
HEB,1418,Endocrinology and Behavior: Research Seminar,
GOV,1368,The Politics of American Education,
PSY,1950,Intermediate Statistical Analysis in Psychology,
IRANIAN,209b,Readings in Old Avestan,
FRSEMR,49n,Measurements of the Mind: The Creation and Critique of the Psychological Test,
PHIL,161,Personal Identity and Self-Consciousness: Proseminar,
ENG-SCI,249,Advanced Neural Control of Movement,
ECON,980b,Education in the Economy,
STAT,231,Time Series Analysis and Forecasting,
ENGLISH,Ckr,Introduction to Playwriting: Workshop,
OEB,253r,Evolutionary Genetics Seminar,
VES,51a,Introduction to Video: Studio Course,
PHYSICS,15c,Wave Phenomena,
HIST-LIT,91r,Supervised Reading and Research,
LATIN,Aab,Beginning Latin (Intensive),
SLAVIC,103,"Advanced Russian: Reading, Composition, and Conversation",
STAT,100,Introduction to Quantitative Methods for the Social Sciences and Humanities,
PSY,2530r,Mental Control: Research Seminar,
AFRAMER,90r,African Language Tutorials,
PSY,2570r,Intergroup Relations: Research Seminar,
MODGRK,B,Intermediate Modern Greek: Language and Civilization,
SWAHILI,A,Elementary Swahili,
COMPSCI,226r,Efficient Algorithms,
APMTH,205,Advanced Scientific Computing: Numerical Methods,
ASTRON,251,Quantum Mechanics for Astrophysics,
HAA,242,Openings: Issues of Interpretation in Medieval Art : Seminar,
OEB,275r,"Phylogenomics, Comparative Genomics and Adaptation",
BIOSTAT,235,Regression and Analysis of Variance,
JAPAN,140a,Advanced Modern Japanese,
PSY,13,Cognitive Psychology,
PHYSICS,16,Mechanics and Special Relativity,
NEUROBIO,220,Cellular Neurophysiology,
MATH,213a,Complex Analysis,
ENG-SCI,181,Engineering Thermodynamics,
ECON,2610,Industrial Organization I,
CHNSE,106a,Introduction to Literary Chinese,
KOREAN,130a,Pre-advanced Korean,
GREEK,Ba,Introduction to Attic Prose,
CHEM,242,Quantum Mechanics for Physical Chemistry,
MCB,52,Molecular Biology,
MCB,169,Molecular and Cellular Immunology,
APMTH,201,Physical Mathematics I,
PHIL,3,Introduction to the Problems of Philosophy,
SLAVIC,Ac,Grammar and Vocabulary Review for Heritage Speakers,
STAT,210,Probability Theory,
STAT,104,Introduction to Quantitative Methods for Economics,
MCB,115,Cellular Basis of Neuronal Function,
ENG-SCI,139,Innovation in Science and Engineering: Conference Course,
CHNSE,150a,Formal Chinese Writing and Speaking,
BIOSTAT,230,Probability Theory and Applications I,
ECON,2010c,Economic Theory,
LING,130,Psycholinguistics: Seminar,
FRSEMR,25p,Neurotoxicology: Biological Effects of Environmental Poisons,
STAT,135,Statistical Computing Software,
MCB,208,Talking about Science,
ENG-SCI,207,Communicating Science,
ANE,100,History of the Ancient Near East:,
ECON,1393,Poverty and Development,
GOV,1780,International Political Economy,
ENG-SCI,222,Advanced Cellular Engineering,
EASTD,140,Major Religious Texts of East Asia,
FRSEMR,26j,The Universe's Hidden Dimensions,
SOCIOL,165,Inequalities in Health Care,
ESPP,90a,"Energy, Technology, and the Environment",
KOREAN,Bxa,Elementary Korean for Advanced Beginners,
ENGLISH,Crr,Fiction Writing: Workshop,
NEC,98r,Tutorial - Junior Year,
GOV,99r,Tutorial - Senior Year,
SEMPHIL,140,Introduction to the Comparative Study of Semitic Languages,
HAA,70,"Introduction to Modern Art and Visual Culture, 1700-1990s",
GOV,1730,War and Politics,
PHYSICS,283b,Beyond the Standard Model,
MATH,141,Introduction to Mathematical Logic,
LING,171,Structure of Chinese,
PSY,2010,Contemporary Topics in Psychological Research,
TURKISH,120a,Intermediate Modern Turkish I,
NEUROBIO,200,Neurobiology,
MATH,212a,Real Analysis,
GOV,20,Foundations of Comparative Politics,
ECON,2020a,Microeconomic Theory I,
ECON,2010a,Economic Theory,
JAPAN,Ba,Elementary Japanese,
GENETIC,201,Principles of Genetics,
ANTHRO,2650a,History and Theory of Social Anthropology: Proseminar,
PHYSICS,210,General Theory of Relativity,
ECON,2040,Experimental Economics,
KOREAN,150a,Readings in Cultural Studies,
GOV,2285,Political Science and China,
HIST,1877a,"History of the Near East, 600-1055",
MATH,131,Topology I: Topological Spaces and the Fundamental Group,
MATH,153,Mathematical Biology-Evolutionary Dynamics,
VES,71,Silent Cinema,
BIOSTAT,232,Methods I,
FRSEMR,25g,The Impact of Infectious Diseases on History and Society,
OEB,107,Evolution of Plant Life in Geologic Time,
PSY,1801,Anxiety Disorders,
MUSIC,2,Foundations of Tonal Music I,
VES,96r,Directed Research: Studio Course,
HAA,271x,"The Origins of Modernity: The \New\"" 18th Century""",
PSY,1352,Foundations of Cognitive Neuroscience Research,
PHYSICS,175,Laser Physics and Modern Optical Physics,
COMPLIT,263,"Journey, Exile, and Displacement in Modern Arabic Literature",
FRSEMR,25n,"Understanding Psychological Development, Disorder and Treatment: Learning through Literature and Research",
LING,83,"Language, Structure, and Cognition",
ECON,1018,Cultural Economics,
ENGLISH,Clr,Dramatic Screenwriting I: Workshop,
PHYSICS,123,Laboratory Electronics,
MATH,60r,Reading Course for Senior Honors Candidates,
LING,97r,Group Tutorial - Sophomore Year,
HEB,91r,Supervised Reading and Research,
ARABIC,A,Elementary Arabic,
GERMAN,A,Beginning German,
SOCIOL,99,Senior Tutorial,
FRENCH,259,The Culture of Hysteria: From Nineteenth-Century France to Here and Now,
MANCHU,A,Elementary Manchu,
CELTIC,184,The Tain,
APPHY,195,Introduction to Solid State Physics,
ASTRON,201a,Stellar and Planetary Astrophysics,
MCB,176,Biochemistry of Membranes,
LATIN,112a,History of Latin Literature I,
CHEM,163,Frontiers in Biophysics,
HEB,1463,Molecular Evolution of the Primates,
E-PSCI,270r,Advanced Structural Interpretation Methods,
APMTH,106,Applied Algebra,
PHYSICS,11a,Mechanics,
GOV,2005,Formal Political Theory I,
ENG-SCI,154,Electronic Devices and Circuits,
ECON,1011a,Microeconomic Theory,
ECON,2450a,Public Economics and Fiscal Policy I,
CHNSE,120a,Intermediate Modern Chinese,
CHNSE,142a,Advanced Conversational Chinese,
COMPSCI,121,Introduction to the Theory of Computation,
GREEK,Aa,Beginning Greek,
ENGLISH,90lv,Consciousness in Fiction: Seminar,
SOCIOL,128,Models of Social Science Research,
JAPAN,210a,Reading Scholarly Japanese for Students of Chinese and Korean,
ASTRON,150,Radiative Processes in Astrophysics,
ECON,2680,Environmental and Natural Resource Economics,
SPANSH,97,Tutorial-Sophomore Year,
ENG-SCI,272,RF and High-Speed Integrated Circuits,
ANTHRO,1610,Ethnographic Research Methods,
ENG-SCI,275,Nanophotonics,
ECON,1542,International Trade Policy,
HEB,1330,Primate Social Behavior,
ENGLISH,131,John Milton: An Introduction to His Life and Poetry,
ENG-SCI,190,Introduction to Materials Science and Engineering,
LATIN,201,Reading Latin,
PHIL,147,Philosophy of Language,
FRSEMR,25z,Stress and Disease (Biobehavioral Aspects of Health and Disease),
FRSEMR,41p,American Presidential Campaigns and Elections 1960-2012,
COMPLIT,275,Theory of Narrative: Conference Course,
STAT,131,Time Series Analysis and Forecasting,
AFRAMER,218,Topics in African American History,
GOV,1170,Nation-Building and Democracy in the Development of Europe,
MCB,173,Optical Imaging in the Biological Sciences,
SOCIOL,25,Introduction to the Sociology of Organizations,
LING,115,Phonological Theory I,
BIOSTAT,251,Statistical Inference II,
CHNSLIT,245r,Topics in Sinophone Studies - Modern Chinese Fiction on the Periphery,
SOCIOL,179,"Crime, Justice, and the American Legal System",
FRSEMR,31j,Skepticism and Knowledge,
GERMAN,61,Advanced Grammar and Reading,
ECON,1816,Race in America,
VES,104,Culture Jam: Art and Activism since 1989: Seminar,
BCMP,218,Molecular Medicine,
HIST,1629,China and the Environment: Conference Course,
ENGLISH,Ctr,Advanced Fiction Writing: Workshop,
FRENCH,Ax,Reading Modern French,
GERMAN,Bab,Beginning German (Intensive),
PHYSICS,15a,Introductory Mechanics and Relativity,
EXPOS,20,Expository Writing,
MATH,21a,Multivariable Calculus,
AKKAD,120,Intermediate Babylonian,
YORUBA,A,Elementary Yoruba,
PSY,2480,Human Neuropsychology/Neuroanatomy: Seminar,
MCB,129,"The Brain: Development, Plasticity and Decline",
MUSIC,218r,20th-Century Music: Seminar,
ECON,2142,Time Series Analysis,
COMPSCI,165,Information Management,
OEB,59,Plants and Human Affairs,
VES,166,"North American Seacoasts and Landscapes, Discovery to Present: Seminar",
GOV,2030,Political Concepts: Field Seminar,
IMUNOL,201,Principles of Immunology,
RELIGION,2001,The History of the Study of Religion,
PHYSICS,143b,Quantum Mechanics II,
ARABIC,130a,Upper-Level Classical Arabic I,
MOD-HEB,120a,Intermediate Modern Hebrew I,
MED-SCI,250ab,Human Functional Anatomy,
ECON,2390b,Development Economics I: Microeconomic Issues,
CHNSE,130a,Advanced Modern Chinese,
JAPAN,120a,Intermediate Japanese I,
KOREAN,Ba,Elementary Korean,
LATIN,Aa,Beginning Latin,
COMPLIT,299ar,Theory and Comparative Literature: Proseminar,
CHEM,160,Quantum Chemistry,
VES,153ar,Intermediate Animation: Making an Animated Film: Studio Course,
SLAVIC,111,Advanced Russian: Readings in Russian/Post-Soviet Studies,
VES,150ar,Video Production: Sensation/Emotion,
LATIN,H,Introductory Latin Prose Composition,
FRSEMR,44g,Public Policy Approaches to Global Climate Change,
MCB,111,Mathematics in Biology,
ENG-SCI,51,Computer-Aided Machine Design,
COMPSCI,153,Compilers,
TURKISH,125a,Intermediate Uzbek I,
MUSIC,208r,Ethnomusicology: Seminar,
MATH,101,"Sets, Groups and Topology",
FRSEMR,24e,The Physics and Applied Physics Freshman Research Laboratory,
FRENCH,70c,Introduction to French Literature III: The Francophone World,
ANTHRO,1090,Ethnography and Archaeology,
ECON,1530,International Monetary Economics,
MUSIC,207r,Ethnomusicology: Seminar,
GOV,1540,The American Presidency,
HIST,1878a,Ottoman State and Society I (1300-1550),
GOV,2227,The Politics and Economics of Africa,
HAA,272w,Post WW II European Art: Germany,
PHYSICS,141,The Physics of Sensory Systems in Biology,
GREEK,Ac,Review and Reading,
ENG-SCI,221,Drug Delivery,
SPANSH,281r,Graduate Seminar: Don Quixote's Library,
OEB,10,Foundations of Biological Diversity,
ASTRON,301hf,Journal Club,
ENGLISH,350,Teaching Colloquium,
HLTHPOL,3002,Graduate Reading Course: Mental Health Policy,
HLTHPOL,3040hf,Research Seminar in Health Policy,
AFRAMER,301,Graduate Proseminar,
CELLBIO,300,"Advanced Topics in Cell, Molecular, and Developmental Biology",
IMUNOL,300,Advanced Topics in Immunology,
OEB,399,Topics in Organismic and Evolutionary Biology,
SOCIOL,303a,Advanced Topics in Quantitative Research,
IMUNOL,301,Immunology Seminar,
CHNSE,120b,Intermediate Modern Chinese,
MATH,1a,Introduction to Calculus,
CHEM,20,Organic Chemistry,
CHEM,135,Experimental Synthetic Chemistry,
ECON,1017,A Libertarian Perspective on Economic and Social Policy,
KOREAN,130b,Pre-advanced Korean,
MCB,105,Systems Neuroscience,
ENG-SCI,96,Engineering Problem Solving and Design Project,
SLAVIC,Dr,Supervised Readings in Intermediate/Advanced Polish,
ECON,1818,Economics of Discontinuous Change,
GOV,1092,Progressive Alternatives: Institutional Reconstruction Today,
MEDVLSTD,117,Constitutional and Legal History of Medieval England,
PHYSICS,181,Statistical Mechanics and Thermodynamics,
PHYSICS,125,Widely Applied Physics,
SOCIOL,190,Life and Death in the US: Medicine and Disease in Social Context,
CHEM,161,Statistical Thermodynamics,
MCB,199,Statistical Thermodynamics and Quantitative Biology,
CHEM,91r,Introduction to Research,
SOCIOL,237,Contemporary Chinese Society: Seminar,
MUSIC,222r,Schenkerian Analysis I,
COMPSCI,228,Computational Learning Theory,
WOMGEN,98r,Tutorial - Junior Year: Research and Methods,
LATIN,Ab,Beginning Latin,
PHIL,156,Philosophy of Mind,
PSY,2461r,Laboratory for Clinical and Developmental Research,
ECON,1460,Economics of Health Care Policy,
HIST,1878b,Ottoman State and Society II (1550-1920),
PHYSICS,287br,Topics in String Theory,
JAPNHIST,120,Religion and Society in Twentieth-Century Japan,
ARABIC,131b,Upper-Level Modern Arabic II,
OEB,253r,Evolutionary Genetics Seminar,
MUSIC,209r,Ethnomusicology: Seminar,
ENG-SCI,230,Advanced Tissue Engineering,
MATH,144,Model Theory and Algebra,
AFRAMER,131,African American Literature from the Beginnings to the Harlem Renaissance,
ENG-SCI,103,Spatial Analysis of Environmental and Social Systems,
BIOSTAT,231,Statistical Inference I,
BIOSTAT,233,Methods II,
VIETNAM,Bb,Elementary Vietnamese,
LING,251,Advanced Readings in Church Slavonic Texts,
ENGLISH,Clr,Dramatic Screenwriting I: Workshop,
HISTSCI,174,Critical Experiments in the Human Sciences,
MUSIC,193r,Topics in Music from 1800 to the Present: Proseminar,
NEUROBIO,221,Molecular Neurobiology,
E-PSCI,231,Climate Dynamics,
GREEK,201,Reading Greek,
MODGRK,B,Intermediate Modern Greek: Language and Civilization,
PHIL,98hf,Tutorial - Junior Year,
SLAVIC,A,Beginning Russian,
STAT,104,Introduction to Quantitative Methods for Economics,
ENG-SCI,123,Introduction to Fluid Mechanics and Transport Processes,
ECON,1410,Public Economics: Designing Government Policy,
OEB,55,"Ecology: Populations, Communities, and Ecosystems",
OEB,51,Biology and Evolution of Invertebrate Animals,
HISTSCI,186,Technology in the Social World,
COMPSCI,143,Computer Networks,
MATH,123,Algebra II: Theory of Rings and Fields,
APMTH,21b,Mathematical Methods in the Sciences,
E-PSCI,100,The Missing Matlab Course: An Introduction to Programming and Data Analysis,
E-PSCI,109,Earth Resources and the Environment,
ANTHRO,2635,Image/Media/Publics: Seminar,
CLAS-HEB,138,Historical Grammar of Biblical Hebrew,
BIOPHYS,242r,Special Topics in Biophysics,
BCMP,201,"Biological Macromolecules: Structure, Function and Pathways",
ECON,2811,Social Economics,
CHNSE,142b,Advanced Conversational Chinese,
OEB,174r,Topics in Behavioral Ecology,
ENG-SCI,6,Environmental Science and Technology,
ENG-SCI,151,Applied Electromagnetism,
TURKISH,125b,Intermediate Uzbek II,
ENGLISH,Crr,Fiction Writing: Workshop,
FRSEMR,23k,Insights from Narratives of Illness,
FRSEMR,31o,Negotiating Identity in Postcolonial Francophone Africa and the Caribbean,
CHEM,60,Foundations of Physical Chemistry,
ECON,2120,Introduction to Applied Econometrics,
AFRAMER,111,"Spectral Fictions, Savage Phantasms: Race and Gender in Anti-Racist South African and African American Drama, Fiction and Film",
PHYSICS,15c,Wave Phenomena,
OEB,118,Biological Oceanography,
PSY,2420,Cognitive-Behavioral Treatment of Psychological Disorders,
E-PSCI,236,Environmental Modeling,
STAT,221,Statistical Computing and Visualization,
PSY,2650,Behavioral Approaches to Decision Making and Negotiation,
MICROBI,213,Social Issues in Biology,
RELIGION,1400,Introduction to the New Testament: History and Interpretation,
NEUROBIO,207,Developmental Neurobiology,
YIDDISH,A,Elementary Yiddish,
YORUBA,A,Elementary Yoruba,
MCB,80,Neurobiology of Behavior,
ECON,1430,Macroeconomics and Politics,
MATH,23b,Linear Algebra and Real Analysis II,
CHEM,27,Organic Chemistry of Life,
MATH,129,Number Fields,
PHIL,144,Logic and Philosophy,
PHYSICS,15b,Introductory Electromagnetism,
PHYSICS,15a,Introductory Mechanics and Relativity,
PORTUG,Ad,Beginning Portuguese for Spanish Speakers II,
JAPAN,Bb,Elementary Japanese,
PHYSCI,1,"Chemical Bonding, Energy, and Reactivity: An Introduction to the Physical Sciences",
ECON,1011b,Macroeconomic Theory,
GOV,1295,Comparative Politics in Latin America,
ECON,1760,Topics in Finance,
COMPSCI,286r,Topics at the Interface between Computer Science and Economics,
ENGLISH,98r,Tutorial - Junior Year,
ENG-SCI,120,Introduction to the Mechanics of Solids,
CHNSE,130b,Advanced Modern Chinese,
VES,153br,Intermediate Animation Workshop: Studio Course,
APMTH,107,Graph Theory and Combinatorics,
APMTH,115,Mathematical Modeling,
GOV,2006,Formal Models of Domestic Politics,
ENG-SCI,173,Introduction to Electronic and Photonic Devices,
PHYSICS,145,Elementary Particle Physics,
GOV,2080,Topics in Political Philosophy,
ECON,2530b,International Finance,
APPHY,291,Electron Microscopy Laboratory,
COMPSCI,152,Programming Languages,
OEB,121a,Research in Comparative Biomechanics: Seminar,
SOCIOL,263,Historical Sociology: Cultural and Institutional Perspectives,
GREEK,Aab,Beginning Greek (Intensive),
PORTUG,144,Waves of Change,
PHYSICS,191r,Advanced Laboratory,
ENGLISH,141,The 18th-Century English Novel,
SLAVIC,Db,Beginning Polish II,
WOMGEN,99b,Tutorial - Senior Year,
VES,152r,Intermediate Video Workshop: Studio Course,
CHNSE,106b,Introduction to Literary Chinese,
PSY,2553r,Decision Making and Negotiation: Research Seminar,
GREEK,K,Advanced Greek Prose Composition,
ENGLISH,281,The Novel in History: Graduate Seminar,
ESPP,90j,Environmental Crises and Population Flight,
FRSEMR,30o,What is College and What is It For?,
FRSEMR,21q,Biological Impostors: Mimicry and Camouflage in Nature,
MUSIC,156,Tonal Counterpoint: Seminar,
GREEK,Bb,Selections from Homer's Iliad,
IMUNOL,202,Advanced Principles of Immunology,
MUSIC,91r,Supervised Reading and Research,
E-PSCI,269r,Topics in Crustal Dynamics,
PERSIAN,A,Elementary Persian,
NEUROBIO,204,Neurophysiology of Central Circuits,
EXPOS,20,Expository Writing,
LING,97r,Group Tutorial - Sophomore Year,
ANTHRO,1600,The Ethnographic Encounter: An Introduction to Social Anthropology,
AFRAMER,10,Introduction to African American Studies,
PHYSICS,153,Electrodynamics,
